system:index,B11_au,B11_sp,B12_au,B12_sp,B2_au,B2_sp,B3_au,B3_sp,B4_au,B4_sp,B8_au,B8_sp,BSI_au,BSI_sp,NDVI_au,NDVI_sp,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,hillshade,slope,.geo
000000000000000008a9_0,3222.5,3103.0,2778.0,2548.0,1605.0,1573.0,1848.5,1806.0,1894.0,1786.0,3355.5,3835.0,0.015480797856504911,-0.05040303000874041,0.27840745,0.36452588,10.5,-19.90081077998161,-12.891294895743094,0.6477773713978806,7.0095158842385175,58,55,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.920850101959675,51.92778873499203]}"
000000000000000008bb_0,3846.0,3940.5,3552.0,3185.0,1879.0,1734.5,2114.0,2047.0,2496.0,2247.0,3432.0,4534.0,0.0884750707972196,-0.006502890173410405,0.15789473,0.33726588,12.8,-21.851161701024356,-12.468821424588114,0.5706251042938184,9.382340276436242,0,95,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.077880187905619,52.23007182809825]}"
000000000000000008bd_0,3036.0,2985.0,2588.0,2404.0,1448.0,1522.0,1614.0,1654.0,1834.0,1766.0,2450.0,3248.0,0.11085766423357664,-0.0019955886986661067,0.14379086,0.2955724,15.8,-17.729820079524043,-11.701290797168928,0.6599779774800202,6.028529282355114,28,194,176,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.178581331255417,51.52974523259867]}"
000000000000000008d1_0,2616.0,2516.0,2050.0,1886.0,1427.0,1324.0,1752.0,1550.0,1624.0,1554.0,3686.0,3886.0,-0.09333903560354967,-0.12284482758620689,0.3883239,0.42867646,8.2,-16.989136442157488,-11.644159285037277,0.685388531941095,5.34497715712021,152,205,176,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.3460181516515926,50.315312799997486]}"
000000000000000008f0_0,4096.0,3105.5,3616.5,2368.0,1975.0,1510.5,2349.0,1812.5,2807.0,1710.5,3472.5,4650.5,0.11784947977814664,-0.12252892411405666,0.10597978,0.4621915,20.8,-20.50627801334245,-11.596041649453218,0.5654873908326139,8.910236363889231,270,255,185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.18477513243399,49.68415648137511]}"
00000000000000000917_0,1354.0,2987.5,1261.0,2368.5,1334.0,1443.0,1271.0,1653.0,1275.0,1679.0,1358.0,3792.0,-0.011839879721856794,-0.057415543099530376,0.031522978,0.38621825,16.6,-19.90211384330169,-12.549490508558675,0.6305606835216835,7.352623334743017,39,164,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.339029589562866,51.489051550228055]}"
0000000000000000092d_0,2478.0,3432.5,2094.0,3378.5,1276.0,1356.5,1316.0,1547.0,1462.0,1816.5,1776.0,2358.0,0.12700228832951946,0.171194287945557,0.09697344,0.12971613,19.1,-19.14878454381229,-10.843455628122284,0.5662738333763446,8.305328915690007,0,70,180,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.836336930851433,51.680033379631865]}"
0000000000000000068e_0,2198.0,4259.0,1819.0,3582.0,1259.0,2040.0,1408.5,2422.0,1395.5,2958.0,2379.0,3828.0,-0.006153633409389477,0.1030951471150172,0.26056433,0.12820514,18.1,-17.714256945634943,-9.9579071450876,0.5621408324181149,7.756349800547344,37,165,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.832460452284165,49.2609601510264]}"
000000000000000006f2_0,2703.0,4008.0,1850.0,2973.0,1270.0,1596.0,1596.0,1913.0,1319.0,2087.0,5024.0,4014.0,-0.2202404032570764,0.04143528406663819,0.5841085,0.31584987,20.6,-21.308609624492153,-15.068014811403305,0.7071327072454368,6.240594813088848,38,400,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.782258350747437,49.540695530501225]}"
000000000000000006f6_0,3001.0,3424.0,2185.0,2671.0,1188.0,1397.0,1629.0,1700.0,1259.0,1600.0,5344.0,4556.0,-0.21052631578947367,-0.0846315022319395,0.6186582,0.48018193,22,-19.23521982918696,-12.048990202527829,0.6264025214957535,7.186229626659131,246,505,194,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.232763465733377,49.1188466730787]}"
00000000000000000737_0,2496.5,3416.5,2097.5,2962.0,1192.5,1600.0,1420.5,1742.0,1605.5,1960.0,2089.5,2626.0,0.11105092091007585,0.11981254881541266,0.13098782,0.1452246,29.6,-17.344428896690985,-9.698402251083063,0.5591652690814944,7.646026645607922,124,498,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.822049143552082,48.31045274889954]}"
00000000000000000739_0,2486.0,3634.0,2037.5,3227.0,1112.0,1628.0,1270.5,1811.0,1412.5,1960.0,1788.0,2470.0,0.14687063322791793,0.1543541064795708,0.11732542,0.11512415,54.7,-17.83087236106962,-10.424095532200399,0.5846093966192851,7.406776828869221,0,425,180,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.907389095543436,48.56171153386777]}"
0000000000000000074e_0,3338.0,4029.0,2858.0,3689.5,1483.5,1893.0,1781.0,2135.0,1870.0,2338.0,3054.0,3376.0,0.06880098507003232,0.09436232382261946,0.24045491,0.18165909,5.3,-20.405032018619128,-13.369690087127369,0.6552153446722274,7.035341931491759,238,135,185,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.382153297482454,52.15578115410156]}"
00000000000000000795_0,2703.5,3945.5,1914.5,3523.0,1467.0,1974.0,1798.0,2364.0,1543.5,2739.0,5693.5,4002.5,-0.25540214770984004,0.0559197535739673,0.57344204,0.1874212,16.9,-15.943984250409914,-8.561225954784653,0.5369564984714876,7.38275829562526,303,134,189,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.777483556896051,50.357533618351106]}"
000000000000000007f9_0,3816.5,3472.5,3362.5,2687.5,1624.5,1582.0,1944.0,1962.5,2148.0,2071.0,3641.0,4884.0,0.0622439893143366,-0.07681418876722594,0.25790292,0.4044572,6,-17.7132204445955,-10.712555038492448,0.6047773792461871,7.000665406103051,140,86,175,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.265646379414004,53.42986172156828]}"
00000000000000000840_0,3650.5,3199.5,3062.5,2649.5,1658.5,1492.0,1848.5,1671.0,1947.5,1570.0,3331.0,3968.0,0.057473435655253834,-0.06750085536927514,0.26210096,0.4330083,17.9,-19.066523281711262,-12.251495832708851,0.6425658024638697,6.815027449002411,320,20,185,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.932712437991905,53.39725287675474]}"
00000000000000000916_0,5311.0,3794.0,5314.0,3162.0,2150.0,1750.0,2570.0,2081.0,3192.0,2204.0,3912.0,4932.0,0.16759354617233094,-0.05394321766561514,0.10135135,0.382287,15,-21.812882608381752,-13.563075647687686,0.6217919883030948,8.249806960694066,338,170,185,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.317020865101938,51.72297285021278]}"
000000000000000007f0_0,3011.0,4012.0,2383.0,3864.0,1373.0,1648.0,1648.0,1880.0,1589.0,2166.0,3481.0,2882.0,-0.026866934630844087,0.153903623459096,0.37317553,0.14183836,17.7,-20.34272079162669,-12.14328195008264,0.5969349957888113,8.19943884154405,0,57,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.96641298399194,53.332035187127666]}"
00000000000000000846_0,2993.5,3086.0,2798.5,2427.0,2439.0,1488.0,2487.5,1700.0,2501.0,1560.0,3245.5,4260.0,-0.016996153502102155,-0.10602270540696555,0.12955712,0.46391752,22.3,-20.41460988862555,-10.457827775183,0.5122717422589501,9.956782113442548,40,31,175,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.472510092219323,53.50864397198556]}"
00000000000000000937_0,3317.5,2887.5,2901.5,2174.5,1753.5,1547.0,2035.5,1819.5,2179.0,1765.5,3281.5,4428.0,0.04382091819778759,-0.1243884079789236,0.2019046,0.42988616,10.1,-21.686746911810815,-12.124663121819953,0.5590816903579366,9.562083789990862,42,32,157,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.106190842200938,52.50262068530011]}"
000000000000000006d2_0,2183.0,3343.0,1700.0,2695.0,933.0,1535.0,1202.0,1817.5,1359.0,2006.5,2058.0,2961.5,0.08434103780805143,0.08663416615884623,0.2045654,0.19223027,22.7,-19.735626537147372,-11.633741657523915,0.5894792159562967,8.101884879623457,0,538,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.393561901590772,47.909534637597]}"
000000000000000008af_0,2736.0,3102.0,2412.5,2382.0,1513.5,1413.0,1721.0,1789.0,1957.0,1730.0,2990.0,4236.0,0.020605665198716903,-0.07795057723499665,0.20881343,0.42004693,14.3,-18.631707205855562,-11.245065550359495,0.6035445612211747,7.386641655496067,0,101,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.247567370793945,51.753246075287606]}"
000000000000000006a9_0,2269.5,3800.0,1792.0,3051.0,1197.0,1772.0,1439.5,2170.0,1222.0,2356.0,3525.0,4100.0,-0.14981433006635417,0.023611572996341867,0.48514852,0.2701363,14.4,-19.028443417889513,-11.593255506863214,0.6092592679422144,7.435187911026299,154,633,176,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.397860092108992,47.95193511900744]}"
000000000000000006af_0,3243.0,4072.0,2589.5,3345.0,1570.0,1850.0,1914.0,2234.0,2046.0,2632.0,3322.0,3929.0,0.03899420489146449,0.07410077705679724,0.23770492,0.19768327,13.7,-18.792259914789582,-10.384763447615018,0.5526085470668788,8.407496467174564,159,615,176,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.664569899964079,48.09701303739274]}"
000000000000000006b1_0,3201.5,3564.0,2559.5,2863.0,1588.0,1678.0,1949.0,2058.0,1908.5,2218.0,3560.0,4212.0,-0.00370442581399883,-0.009252912954078136,0.30200237,0.31010887,13.2,-18.93676329354731,-11.133147358670346,0.5879118403758028,7.803615934876962,270,582,189,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.718738311596486,48.00718150898079]}"
000000000000000006bd_0,3112.0,3661.5,2065.0,3485.5,1312.0,1819.5,1656.5,2107.0,1416.5,2395.0,5378.0,3069.0,-0.1926728172215537,0.10671539515760621,0.5830451,0.123352855,18.8,-18.417580673832447,-11.137966709558905,0.6047464597445005,7.279613964273542,56,644,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.013385724787687,47.845574589367686]}"
000000000000000006e0_0,2169.0,3759.5,1731.0,2853.0,984.0,1571.0,1316.0,1885.5,1390.0,2022.0,2261.0,4044.0,0.04614932392710171,0.014609748607028473,0.23856477,0.33333334,17,-18.150604580088316,-11.111009240340659,0.6121564265980277,7.039595339747658,0,413,180,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.713451974265734,48.38824685250429]}"
000000000000000006e4_0,2227.0,3025.0,1824.0,2364.0,1088.0,1534.0,1426.0,1871.0,1618.0,1811.0,2290.0,5556.0,0.06465457566108265,-0.18899882609424787,0.17195496,0.50834805,14.3,-17.494080297358398,-10.077549804428592,0.5760548501626748,7.416530492929805,333,344,185,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.999206066144154,48.650914241580836]}"
000000000000000006fb_0,3062.5,4362.5,2045.5,3365.0,1351.0,1609.0,1786.0,1970.0,1546.5,2167.0,4946.0,3864.0,-0.15477718686961306,0.08802332847323474,0.52360415,0.28137955,13,-18.57272448371995,-13.169703820782782,0.709088417928494,5.403020662937166,207,425,185,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.408473935307157,49.34917471192694]}"
000000000000000006fc_0,2298.5,2499.0,1657.0,2185.0,1460.0,1420.0,1586.0,1571.0,1549.0,1693.0,3871.0,2294.0,-0.1616277169472136,0.06046040981533013,0.42841327,0.15073991,16.7,-24.76850745737392,-18.166116705582304,0.7334360674273898,6.602390751791617,256,529,216,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.503875018480649,49.59899619244058]}"
0000000000000000072c_0,3258.0,3691.0,2983.0,3409.0,1632.0,1872.5,1977.0,2289.0,2312.0,2640.0,2701.0,3202.0,0.1249116429364839,0.11016614791109552,0.077598244,0.09619993,11.1,-19.444541741577126,-9.408779779317815,0.4838776816837792,10.035761962259311,288,502,189,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.55228506373099,48.29410341072857]}"
00000000000000000743_0,3541.0,4710.0,3315.0,4611.5,1683.0,2101.0,1998.5,2445.0,2219.0,2949.0,3272.0,3804.5,0.0751283247783481,0.12927125953776403,0.19176835,0.12667505,6.4,-23.362942225530304,-14.327930780264172,0.6132759582227212,9.035011445266132,151,40,171,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.066664969699678,52.91683386280762]}"
00000000000000000744_0,2919.0,4192.0,2342.0,3673.0,1258.0,1714.0,1602.0,1988.0,1410.0,2210.0,4284.0,3216.0,-0.1228852193293486,0.12989763501588422,0.50474185,0.18540362,13.1,-21.054363177151213,-12.859386834417128,0.6107706381911611,8.194976342734085,0,67,180,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.145626883173785,53.311014609479265]}"
00000000000000000758_0,2968.0,3632.0,2097.5,3344.5,1297.5,1554.0,1638.5,1815.0,1355.0,1977.0,4680.0,2827.0,-0.16062327071501384,0.12292292292292292,0.5509528,0.17693588,20.1,-19.25674743986102,-12.590983955809197,0.653847904228424,6.665763484051823,121,29,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.674105764821299,52.635122189707744]}"
00000000000000000781_0,2686.5,3938.0,1918.0,2865.0,1320.5,1488.5,1609.0,1804.0,1455.0,1837.5,3981.5,4003.0,-0.12288875946418171,0.025206354841572735,0.46472916,0.37077305,33.4,-19.115898952058043,-12.516167031083098,0.6547516840548894,6.5997319209749445,253,97,190,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.902012926684273,51.467581814937596]}"
00000000000000000794_0,3371.0,5311.0,2558.0,4122.5,1516.0,2098.0,1896.0,2533.0,1937.0,3111.0,3910.0,4344.0,-0.010993106018259735,0.13320775026910656,0.33743802,0.16539235,21.4,-17.13079543896465,-10.552089837400235,0.6159719713539455,6.578705601564415,252,261,189,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.762930849293314,49.83579210133449]}"
000000000000000007f4_0,2776.5,3962.5,2268.0,3306.0,1471.0,1659.0,1743.5,1955.5,1830.5,2148.0,2880.0,3726.0,0.028577807546327307,0.06311165238571614,0.22280012,0.26864147,11.6,-19.851717188958848,-10.4771842586164,0.5277721901278956,9.374532930342447,29,42,175,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.52552441682793,53.64536755822856]}"
0000000000000000081c_0,2820.0,3497.5,2023.0,2982.0,1403.0,1599.0,1780.0,1746.0,1450.0,1698.5,4008.0,3496.0,-0.11785972523499638,0.00981440093285395,0.46866983,0.3460391,13.1,-19.006537427734102,-12.284043685765692,0.6463062371287559,6.72249374196841,0,44,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.624500464010495,52.69306352553345]}"
00000000000000000826_0,2880.0,4056.0,2147.0,3405.0,1426.0,1834.0,1542.0,2062.0,1579.0,2480.0,2588.0,3442.0,0.052519768676973916,0.10667118184896715,0.24214064,0.16244511,9.4,-21.12789497242747,-13.870250804879639,0.6564899542988418,7.257644167547831,209,20,185,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.09584649358801,52.787476461894414]}"
0000000000000000085e_0,2713.5,2502.5,1763.5,1738.0,1360.0,1398.0,1796.5,1635.0,1319.5,1462.0,6516.5,6187.5,-0.32272555522901886,-0.3135064935064935,0.663221,0.6177528,12,-15.62506778506517,-8.739678360483436,0.5593369885305098,6.885389424581733,180,4,180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.308288909718573,52.92249324909758]}"
00000000000000000865_0,2609.0,3981.0,2003.5,3786.0,1357.5,1638.0,1699.0,1754.0,1364.5,1805.0,4125.0,3811.0,-0.15958121827411167,0.029995549621717847,0.5028691,0.35719374,21,-19.965508070299848,-12.462966689092013,0.6242248704720711,7.502541381207834,121,13,175,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.603475312080247,52.96471406745119]}"
